id,iatrogenic_id,iatrogenic_class,specific_agent,exposure_window,dose_or_intensity,target_phenotype_id,log_odds_shift,conditional_on_susceptibility,log_odds_shift_in_subgroup,credal_low,credal_high,evidence_quality,primary_pmids,countervailing_evidence_pmids,evidence_balance,mainstream_consensus_position,mechanism_id,recommendation_for_avoidance_window,recommendation_when_clinically_indicated,status,created_at,notes
IEP-00001,gestational_ssri_any,ssri,fluoxetine_paroxetine_sertraline_citalopram_escitalopram,trimester_1_2_3,any,PHE-0003,0.20,always,0.20,-0.05,0.50,0.40,21727247;23604083;26660917,28418480;28418479,1,"ACOG and APA consider SSRIs broadly compatible with pregnancy when clinically indicated; risk of untreated maternal depression is weighted against signal. A small absolute increase in heterogeneous outcomes (cardiac, ASD, ADHD) has been reported in some cohorts but is generally judged confounded by indication.",MEC-0002,pregnancy_only,use_alternative_class_when_safer_options_exist,contested,2026-04-30T00:00:00+00:00,Croen 2011 Arch Gen Psychiatry / Rai 2013 BMJ / Boukhris 2016 JAMA Pediatr supporting; Brown 2017 JAMA + Sujan 2017 JAMA sibling-control attenuating. Mechanism (serotonin morphogen perturbation) is proposed not directly demonstrated. CONSIDER not AVOID. Untreated severe maternal depression has its own substantial fetal/neonatal risks.
IEP-00002,ssri_for_core_autism_features,ssri,fluoxetine_paroxetine_sertraline_citalopram_escitalopram,2_6yr;6_12yr;12_18yr;18plus_yr,any,PHE-0003,0.0,always,0.0,-0.10,0.10,0.85,23959778,,1,,,no_avoidance_window,STOP_WITH_CLINICIAN_if_used_for_core_autism_features_no_evidence_base,active,2026-04-30T00:00:00+00:00,Williams 2013 Cochrane review (PMID 23959778) — SSRIs show no benefit for core autism features in children. Recommendation type STOP_WITH_CLINICIAN if currently prescribed for core autism. SSRIs may still be appropriate for separate comorbid indication (severe OCD anxiety depression) — that is a separate decision with PGx awareness.
IEP-00003,gestational_valproate,anticonvulsant_specific,valproate,trimester_1_2_3,any,CONGENITAL_TERATOGENIC_PATTERN,1.10,always,1.10,0.85,1.40,0.85,23613074;20633039,,2,,MEC-0003,pregnancy_only,absolute_contraindication_when_alternatives_available,active,2026-04-30T00:00:00+00:00,"Christensen 2013 JAMA (PMID 23613074) — Danish cohort autism RR 2.9 with VPA monotherapy. Bromley 2010 Epilepsia early cognitive followup. Clean teratogenic mechanism (HDAC inhibition + neural-tube + brain dev). Highest-evidence iatrogenic in this table. [AUDIT-FIX: C-1 fix: MEC-0028 (BDNF) was wrong; remapped to MEC-0003 (impaired methylation/HDAC inhibition) per VPA mechanism. M-8 fix: routed to congenital teratogenic pattern, not PHE-0003 (regressive).]"
IEP-00004,gestational_topiramate_other_aeds,anticonvulsant_specific,topiramate_other_aeds,trimester_1_2_3,any,CONGENITAL_TERATOGENIC_PATTERN,0.40,always,0.40,0.10,0.75,0.60,35639399,,1,,MEC-0007,pregnancy_only,use_alternative_class_when_safer_options_exist_per_seizure_indication,active,2026-04-30T00:00:00+00:00,"Bjork 2022 JAMA Neurology Nordic cohort (PMID 35639399) — antiseizure medication during pregnancy and autism / intellectual disability risk by drug class. [AUDIT-FIX: C-1 fix: MEC-0028 was wrong; topiramate → MEC-0007 (GABA/glutamate). M-8 fix: congenital teratogenic, not regressive.]"
IEP-00005,gestational_acetaminophen_chronic,acetaminophen,acetaminophen,trimester_1_2_3,chronic,PHE-0002,0.25,always,0.25,-0.10,0.55,0.40,24566677;31664451;34556849,38592388,2,"WHO, FDA, ACOG consider acetaminophen the preferred analgesic in pregnancy when clinically indicated. The 2021 multi-author consensus statement (PMID 34507921) calling for precautionary minimization is an emerging signal, not a guideline change.",MEC-0001,pregnancy_only,use_lowest_effective_dose_shortest_duration,contested,2026-04-30T00:00:00+00:00,Liew 2014 JAMA Pediatr (PMID 24566677) / Ji 2020 JAMA Psychiatry cord plasma (PMID 31664451) / Bauer 2021 Nat Rev Endocrinol consensus statement (PMID 34556849) supporting; Ahlqvist 2024 JAMA sibling-control n=2.48M (PMID 38592388) null after sibling-adjustment substantially attenuating. Glutathione-depletion mechanism plausible especially in mito-vulnerable subset. CONSIDER not AVOID; treat indicated fever/pain.
IEP-00006,gestational_thalidomide,iatrogenic_historical,thalidomide,trimester_1,any,CONGENITAL_TERATOGENIC_PATTERN,2.30,always,2.30,1.50,3.00,0.90,8157157,,1,,,pregnancy_only,absolute_contraindication,active,2026-04-30T00:00:00+00:00,Stromland 1994 Dev Med Child Neurol (PMID 8157157) — autism prevalence ~30 in thalidomide-exposed survivors with brainstem-period exposure. Historical baseline reference for what a strong-effect-size iatrogenic exposure looks like. [AUDIT-FIX: C-1 fix: MEC-0028 was wrong; thalidomide retinoic-acid pathway not in atlas — mechanism_id left empty with mechanism_status: no_atlas_mechanism_pending. M-8 fix: congenital teratogenic.]
IEP-00007,gestational_misoprostol_mobius,iatrogenic_historical,misoprostol,trimester_1,any,CONGENITAL_TERATOGENIC_PATTERN,0.85,always,0.85,0.40,1.30,0.55,12806493,,1,,,pregnancy_only,absolute_contraindication,active,2026-04-30T00:00:00+00:00,Bandim 2003 Arq Neuropsiquiatr (PMID 12806493) — autism + Mobius sequence in misoprostol-exposed Brazilian children; brainstem malformation mechanism. [AUDIT-FIX: C-1 fix: MEC-0028 was wrong; misoprostol-Mobius brainstem mechanism not in atlas. M-8 fix: congenital teratogenic.]
IEP-00008,gestational_isotretinoin,iatrogenic_historical,isotretinoin,preconception;trimester_1,any,CONGENITAL_TERATOGENIC_PATTERN,0.55,always,0.55,0.20,0.95,0.65,3162101,,1,,,preconception_strict_3mo_washout,absolute_contraindication_pregnancy,active,2026-04-30T00:00:00+00:00,Lammer 1985 NEJM (PMID 3162101) retinoic acid embryopathy. Hindbrain development pathway. FDA iPLEDGE program addresses. [AUDIT-FIX: C-1 fix: MEC-0028 was wrong; isotretinoin retinoic-acid pathway not in atlas. M-8 fix: congenital teratogenic.]
IEP-00009,antipsychotic_for_autism_irritability_aggression,antipsychotic,risperidone_aripiprazole,2_6yr;6_12yr;12_18yr,any,PHE-0003,0.0,always,0.0,-0.20,0.20,0.65,12151468;19948625;19797985,,3,,,no_avoidance_window,CONSIDER_alternatives_first_lowest_effective_dose,active,2026-04-30T00:00:00+00:00,McCracken 2002 NEJM RUPP (PMID 12151468) risperidone for irritability/aggression; Owen 2009 Pediatrics (PMID 19948625) and Marcus 2009 J Am Acad Child Adolesc Psychiatry (PMID 19797985) aripiprazole for irritability. FDA-approved for autism irritability/aggression ONLY — not core autism features. Side effects substantial: metabolic syndrome EPS tardive dyskinesia sedation prolactin. Recommend non-pharmacological first-line.
IEP-00010,antipsychotic_for_core_autism_features,antipsychotic,risperidone_aripiprazole,2_6yr;6_12yr;12_18yr,any,PHE-0003,0.0,always,0.0,-0.20,0.20,0.40,,,0,,,no_avoidance_window,STOP_WITH_CLINICIAN_if_used_for_core_autism_features_no_evidence_base,active,2026-04-30T00:00:00+00:00,Antipsychotics have NO evidence base for core autism features (vs aggression/irritability indications). Recommendation type STOP_WITH_CLINICIAN if currently prescribed for core autism — review with prescribing clinician.
