formulation_id,parent_intervention_id,formulation_name,delivery_route,dose_form,bioavailability_factor,bioavailability_reference,formulation_evidence_status,mechanism_specificity_notes,responder_population_notes,contested_at_formulation_level,contested_at_molecule_level_only,evidence_links_count,created_at,last_updated
FRM-0001,INT-0004,Glutathione (oral reduced GSH capsule),oral,capsule,0.05,IV reference 1.00,contested,Oral GSH largely degraded by gut peptidases; what reaches systemic circulation is broken into constituent amino acids. Negative or null RCTs are likely real for THIS formulation.,Cohort baseline; FRM-specific responder profile not established,true,false,0,2026-05-07,2026-05-07
FRM-0002,INT-0004,Glutathione IV push,IV,solution,1.00,IV reference 1.00,established_mechanistic,Direct systemic delivery bypasses gut hydrolysis. Mechanistic case strong: replenishes intracellular GSH; reduces oxidative stress markers in vivo.,"Pre-treatment low GSH/GSSG ratio + oxidative stress markers (8-OHdG, F2-isoprostanes elevated)",false,false,0,2026-05-07,2026-05-07
FRM-0003,INT-0004,Liposomal glutathione (oral),oral,liposomal capsule,0.40,IV reference 1.00,anecdotal_plus_mechanistic,Phospholipid encapsulation protects GSH through stomach acid + pancreatic enzymes. Plasma GSH measurable post-dose. Bioavailability ~30-50% of IV.,Subset who tolerate oral but cannot access IV; pre-treatment low GSH/GSSG ratio,false,true,0,2026-05-07,2026-05-07
FRM-0004,INT-0004,Glutathione transdermal cream,topical,cream,0.20,IV reference 1.00,anecdotal_only,Transdermal absorption documented for small molecules; GSH penetration variable. Mechanistic hypothesis: skin GSH replenishment + slow systemic.,Sensitive children who cannot tolerate oral or IV; parents seeking lower-intervention option,false,true,0,2026-05-07,2026-05-07
FRM-0005,INT-0004,Glutathione nasal spray,intranasal,spray,0.30,IV reference 1.00,anecdotal_plus_mechanistic,Olfactory neuron uptake → potential CNS direct delivery bypassing BBB. Auro-GSH brand widely used; user reports of behavioral improvements within hours.,Children with measurable CNS oxidative stress (CSF lactate elevated; MRS NAA decreased); regression-phenotype subset,false,true,0,2026-05-07,2026-05-07
FRM-0006,INT-0004,Acetyl-glutathione (S-acetyl-GSH oral),oral,capsule,0.55,IV reference 1.00,anecdotal_plus_mechanistic,S-acetyl ester resistant to GI hydrolysis; deacetylated intracellularly. Shown to elevate intracellular GSH in cell models.,Cohort with intolerance to liposomal; subset with measurable post-dose GSH increase,false,true,0,2026-05-07,2026-05-07
FRM-0007,INT-0004,NAC oral capsule (effervescent),oral,capsule,1.00,oral capsule reference 1.00,established_RCT,Hardan 2012 Biol Psychiatry RCT (PMID 22342106) showed efficacy at 900-2700 mg/day in autism. Standard pharma form.,Modest oxidative stress signal; population-typical mild lactate; engine returns ~0.366 PHE-0002 loading,false,false,0,2026-05-07,2026-05-07
FRM-0008,INT-0004,NAC IV,IV,solution,1.50,oral capsule reference 1.00,established_mechanistic,Approved for acetaminophen overdose; autism use is off-label. Higher peak plasma than oral.,Acute oxidative crisis; no established autism RCT for IV form,false,false,0,2026-05-07,2026-05-07
FRM-0009,INT-0004,NAC nebulized,inhaled,solution,0.30,oral capsule reference 1.00,mechanistic_only,Respiratory mucolytic; minimal systemic absorption. Autism use anecdotal in subset with respiratory comorbidities.,Subset with chronic sinusitis or post-viral respiratory inflammation,false,true,0,2026-05-07,2026-05-07
FRM-0010,INT-0003,Methyl-B12 oral methylcobalamin (lozenge),sublingual,lozenge,0.30,IM injection reference 1.00,mechanistic_only,Sublingual avoids first-pass; some children show measurable methionine increase. Inferior to injection for severe deficits.,Mild undermethylator with high adherence intolerance to injections,false,false,0,2026-05-07,2026-05-07
FRM-0011,INT-0003,Methyl-B12 subcutaneous (Neubrander protocol),subcutaneous,solution,1.00,IM injection reference 1.00,established_RCT,Hendren 2016 RCT (PMID 26889605) low-methionine subset showed 52% responder rate. Neubrander 64.5 mcg/kg every 3 days.,Walsh undermethylator phenotype: histamine_low + SAM/SAH_low; baseline plasma methionine <19 μM,false,false,0,2026-05-07,2026-05-07
FRM-0012,INT-0003,Methyl-B12 IM (intramuscular shot),intramuscular,solution,1.00,IM injection reference 1.00,established_mechanistic,Standard B12 deficiency treatment; less commonly used in autism than subcutaneous Neubrander protocol but pharmacokinetically equivalent.,Same as FRM-0011 but where IM is logistically preferred,false,false,0,2026-05-07,2026-05-07
FRM-0013,INT-0001,Leucovorin (folinic acid) oral capsule,oral,capsule,1.00,leucovorin oral reference 1.00,established_RCT,Frye 2018 Mol Psychiatry RCT (PMID 27752075) FRAA-positive subgroup 78% responder rate. CALIBRATION ANCHOR: parent INT-0001 atlas signal must remain ≥80.,FRAA-blocking autoantibody positive (titer ≥1.0 ng/mL); cerebral folate deficiency phenotype,false,false,0,2026-05-07,2026-05-07
FRM-0014,INT-0008,Methylfolate (5-MTHF) oral,oral,capsule,1.00,5-MTHF oral reference 1.00,established_mechanistic,Bypasses MTHFR enzyme; preferred over folic acid for MTHFR C677T T/T.,MTHFR C677T T/T or C/T with elevated homocysteine; but contraindicated/cautioned in FRAA-positive (paradoxical worsening reported),false,false,0,2026-05-07,2026-05-07
FRM-0015,INT-0008,Folic acid (synthetic) oral,oral,tablet,0.50,5-MTHF oral reference 1.00,contested,Synthetic monoglutamate; requires DHFR conversion. May worsen unmetabolized folic acid (UMFA) in poor methylators. PARADOXICAL WORSENING reported in FRAA-positive.,FRAA-positive: AVOID. MTHFR T/T: prefer 5-MTHF. General population: established for NTD prevention.,true,false,0,2026-05-07,2026-05-07
FRM-0016,INT-0010,Curcumin standard (turmeric powder),oral,powder,0.01,liposomal reference 1.00,contested,Standard turmeric powder bioavailability ~1%. Most negative RCTs of curcumin used this form.,Cohort baseline; very few clinical responders without enhanced absorption,true,false,0,2026-05-07,2026-05-07
FRM-0017,INT-0010,Curcumin liposomal,oral,liposomal capsule,0.40,liposomal reference 1.00,anecdotal_plus_mechanistic,40-50× bioavailability vs standard turmeric. Liposomal encapsulation protects through GI tract.,Inflammatory subset (elevated IL-6/TNF); subset with measurable CRP reduction post-treatment,false,true,0,2026-05-07,2026-05-07
FRM-0018,INT-0010,Curcumin Meriva (phytosome),oral,phytosome capsule,0.30,liposomal reference 1.00,established_mechanistic,Phosphatidylcholine complex; 29× bioavail vs standard. Documented in arthritis and metabolic RCTs.,Inflammatory subset; tolerance to phosphatidylcholine,false,true,0,2026-05-07,2026-05-07
FRM-0019,INT-0011,L-carnitine (free amino acid),oral,capsule,0.85,L-carnitine reference 1.00,established_mechanistic,Standard L-carnitine; does NOT cross BBB efficiently. Best for systemic mitochondrial support.,Mitochondrial dysfunction phenotype with peripheral muscle/cardiac symptoms,false,false,0,2026-05-07,2026-05-07
FRM-0020,INT-0011,Acetyl-L-carnitine (ALCAR),oral,capsule,0.95,L-carnitine reference 1.00,established_RCT,Acetyl ester crosses BBB; preferred for cognitive/CNS effects. Multiple RCTs in cognitive disorders.,Mitochondrial dysfunction with CNS-dominant phenotype (cognitive/regression); pediatric mitochondrial disease,false,false,0,2026-05-07,2026-05-07
FRM-0021,INT-0011,Propionyl-L-carnitine,oral,capsule,0.80,L-carnitine reference 1.00,mechanistic_only,Cardiac/muscle preferred; less studied in autism specifically.,"Subset with cardiac comorbidity (e.g., 22q11.2 deletion)",false,false,0,2026-05-07,2026-05-07
FRM-0022,INT-0006,Low-dose naltrexone oral (compounded),oral,capsule,1.00,oral compounded reference 1.00,established_mechanistic,Compounded 1.5-4.5 mg from 50mg pharma tablets. Fjorback 2014 + multiple FM clinic case series.,PANS-overlap subset; chronic inflammation + autoimmune family history; treatment-resistant behavioral phenotype,false,false,0,2026-05-07,2026-05-07
FRM-0023,INT-0006,Low-dose naltrexone sublingual liquid,sublingual,liquid,0.95,oral compounded reference 1.00,anecdotal_plus_mechanistic,Liquid form for children unable to swallow capsules; compounded.,Same as FRM-0022; pediatric patients with capsule intolerance,false,false,0,2026-05-07,2026-05-07
