id,name,description,diagnostic_markers,prevalence_estimate,status,created_at,last_updated,notes,top_intervention_ids_legacy,top_cause_ids_legacy
PHE-0001,Cerebral folate deficiency phenotype,Subset of autism with documented blockade of folate transport into the brain via FOLR1 autoantibodies. High response rate to high-dose folinic acid (leucovorin) per Frye 2018 RCT.,FOLR1 autoantibodies positive; CSF 5-MTHF low; sometimes responsive to folinic acid challenge.,~10-25% of cases,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Calibration target phenotype,INT-0001;INT-0008;INT-0003;INT-0017;INT-0018,CAU-0001;CAU-0003
PHE-0002,Mitochondrial dysfunction phenotype,"Subset with elevated mitochondrial biomarkers; responds to mitochondrial cocktails (CoQ10, L-carnitine, B vitamins).","Elevated lactate, pyruvate, alanine; muscle biopsy abnormal; ATP production reduced.",~30-50% show mitochondrial markers; ~5% meet strict criteria,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Frye + Rossignol consensus,INT-0011;INT-0012;INT-0017;INT-0019;INT-0020;INT-0055,CAU-0006
PHE-0003,Regressive immune-inflammatory phenotype,Children who develop typically until 18-36 months then regress. Elevated inflammatory markers; family history of autoimmunity common.,Loss of milestones at 18-36 months; elevated cytokines; family hx autoimmunity.,~25-35% of cases,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,INT-0002;INT-0006;INT-0027;INT-0029;INT-0004,CAU-0008;CAU-0026
PHE-0004,Autism + GI / microbiome phenotype,Subset with chronic GI symptoms and altered gut microbiome. FMT trials show sustained improvement (Kang 2019).,Chronic GI symptoms; altered microbiome; food sensitivities.,~30-70% have GI symptoms,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,INT-0025;INT-0005;INT-0041;INT-0042;INT-0023,CAU-0007;CAU-0022
PHE-0005,"mTOR pathway syndromic (TSC, PTEN)",Single-gene variants in mTOR pathway. Rapamycin/sirolimus FDA-approved for TSC; off-label use in autism + mTOR variants.,TSC1/TSC2 or PTEN variants; tubers on imaging; macrocephaly.,~1-3% of cases,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Strong genetic basis,INT-0036;INT-0037;INT-0028,CAU-0029;CAU-0030
PHE-0006,Fragile X (FMR1),Single-gene cause. Multiple failed phase 3 trials; mechanism continues to refine.,Confirmed FMR1 expansion ≥200 CGG repeats.,~1-2% of autism cases (~50% of Fragile X has autism),active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Single-gene phenotype,INT-0022;INT-0035,CAU-0027
PHE-0007,GABA/Cl- imbalance phenotype,Phenotype defined by responsiveness to bumetanide; may reflect persistence of immature GABA polarity.,EEG signatures; bumetanide responders.,"Subset, identification challenging",active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Lemonnier 2017+,INT-0005;INT-0023;INT-0024;INT-0015,
PHE-0008,Undermethylator phenotype (Walsh),"Low whole-blood histamine, low SAM/SAH ratio. Personality cluster: high inner tension, perfectionism, OCD features, seasonal allergies. ~30-40% of autism per Walsh framework. Treatment: methyl donors (methionine, SAM-e, methyl-B12, sometimes 5-MTHF cautiously).",Low whole-blood histamine; low SAM/SAH ratio; clinical personality cluster,30-40% of autism,active,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Per Walsh Research Institute framework. Researcher: Walsh_William.,,
PHE-0009,Overmethylator phenotype (Walsh),"High whole-blood histamine, high SAM/SAH ratio. Personality cluster: anxious, low motivation, paradoxical histamine elevation. ~5-10% of autism per Walsh. Treatment: folate-cautious; niacinamide, B6, sometimes folate-blocking strategies.",High whole-blood histamine; high SAM/SAH ratio,5-10% of autism,active,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Per Walsh framework. Methyl donors can paradoxically worsen.,,
PHE-0010,Pyroluria / kryptopyrroluria phenotype,"Elevated urinary kryptopyrroles which bind and deplete B6 + zinc. Stress intolerance, anxiety, mood lability, poor short-term memory, peculiar fruity-smelling sweat under stress. Treatment: B6 (P5P), zinc, GLA (evening primrose oil), magnesium.",Elevated urinary kryptopyrroles (>20 μg/dL); clinical stress-reactivity profile,10-20% of autism,active,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Per Walsh / Pfeiffer Treatment Center historical work. Sample handling matters — light-sensitive.,,
PHE-0011,Copper:zinc imbalance phenotype,"Elevated free copper + low zinc (Cu:Zn >1.2 per Walsh framework). Hyperactivity, sensory issues, behavioral dysregulation. Postpartum depression risk in mothers. Treatment: zinc supplementation, molybdenum, metallothionein-promoting protocols.",Elevated plasma copper; low plasma zinc; Cu:Zn ratio >1.2,"15-25% of autism, often with hyperactive/aggressive features",active,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Per Walsh framework.,,
