billing_id,entity_type,entity_id,cpt_codes,icd10_anchor,insurance_tier,prior_auth_typical,hsa_fsa_eligible,self_pay_cost_low,self_pay_cost_high,medicare_covered,medicaid_covered,private_typical_coverage,coverage_notes,added_date,source_urls
BIL-0001,TEST,TEST-0008,81243;81244,F84.0,usually_covered,varies_by_plan,yes,200,400,yes,yes,Generally covered with autism/ID/DD diagnosis; ACMG first-tier test,"Fragile X testing is reimbursable by most payers (Medicare, Medi-Cal, most commercial) when billed with autism (F84.0), unexplained ID (F70-F79), or DD (F80-F89). 81243 is the PCR; 81244 is reflex methylation analysis if expansion detected. Standard of care per ACMG; denial is rare with documented developmental concern. Order through pediatrician or geneticist.",2026-05-16,https://www.aapc.com/codes/cpt-codes/81243;https://cgsmedicare.com/partb/topic/mopath/cope21862_4.html
BIL-0002,TEST,TEST-0009,81415;81416;81417,F84.0,sometimes_covered,yes,yes,1000,5000,partial,partial,"Often covered for children under 18 with autism/DD/ID but prior auth required; trio sequencing (proband+parents, 81416 x2) frequently denied","WES is the highest-yield diagnostic test (~25-30% post-CMA). Coverage improved markedly post-2020 - UHC, BCBS, Cigna, Aetna now treat as medically necessary when patient is <18 with one or more congenital anomalies plus developmental delay, ID, or ASD with no identified cause and prior testing (CMA, FXS) negative. Prior auth required. Trio (81415 proband + 81416 x2 parents) preferred for interpretation but capped at 2 units of 81416 by most payers. GeneDx, Invitae offer patient-responsibility cap programs ($100-$250 OOP).",2026-05-16,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/whole-exome-and-whole-genome-sequencing.pdf;https://health.maryland.gov/mmcp/Documents/Whole%20Exome%20Clinical%20Criteria.pdf
BIL-0003,TEST,TEST-0014,86376,E53.8,rarely_covered,no,yes,295,595,no,no,Not covered by any major commercial plan; specialty lab,FRAT (folate receptor alpha autoantibody) test from Religious Sisters of Mercy / ReligenDx is cash-pay. $295 lab fee alone; $595 with required physician consult. 86376 is the generic autoimmune antibody CPT but no payer recognizes this specific assay. HSA/FSA eligible with LMN citing autism (F84.0) plus suspected cerebral folate deficiency (E53.8). Workaround: a clinician can bill the consult under E/M codes (99213/99214) covered separately. Insurance reimbursement is extremely rare even with appeal.,2026-05-16,https://www.fratnow.com/;https://www.secondopinionphysician.com/shop/folate-receptor-antibody-test-folate-deficiency-causes/
BIL-0004,TEST,TEST-0015,83605;84210,G93.41,usually_covered,no,yes,30,150,yes,yes,Standard hospital lab order; covered with mitochondrial / encephalopathy / lactic acidosis diagnosis,"Lactate (83605) and pyruvate (84210) bill separately; the L:P ratio is calculated. Both covered when ICD-10 indicates suspected mitochondrial disorder (E88.40, E88.49), metabolic encephalopathy (G93.41), or lactic acidosis (E87.2). Pre-analytical handling is the practical problem - lactate requires immediate deproteinization. Send to hospital lab when possible. ICD-10 F84.0 alone may trigger denial; pair with G93.41 or E88.40.",2026-05-16,https://www.aapc.com/codes/cpt-codes/83605;https://www.aapc.com/codes/cpt-codes/84210
BIL-0005,TEST,TEST-0010,82542 (x multiple),F84.0,rarely_covered,no,yes,300,400,no,no,Mosaic Diagnostics is out-of-network with all commercial plans; cash-pay or partial superbill reimbursement,"The Organic Acids Test billed by Mosaic Diagnostics (formerly Great Plains) uses CPT 82542 (column chromatography, quantitative, each analyte) for each of 76 markers, but Mosaic is OON with all commercial plans. Mosaic provides a superbill for patient-submitted out-of-network claims; reimbursement is highly variable. Direct-pay $299-$399 depending on add-ons. HSA/FSA eligible without LMN per Mosaic billing guide (qualifies as diagnostic test). Genova Organix (TEST-0011) is a marginally lower-cost insurance-billable alternative ($179 copay through Genova-Connect).",2026-05-16,https://mosaicdx.com/test/organic-acids-test/;https://help.usbiotek.com/knowledge/organic-acids-tests-insurance-covreage
BIL-0006,TEST,TEST-0020,83520 (x5);86376,F50.82,sometimes_covered,no,yes,495,995,no,partial,Aetna calls it experimental/investigational; ~50% of orders get partial reimbursement,"Moleculera Labs Cunningham Panel (5 markers: anti-D1, anti-D2, anti-lyso, anti-tubulin, CaMKII) bills under five separate 83520 immunoassay codes plus 86376. Aetna officially classifies as experimental/investigational. Roughly half of orders get partial reimbursement; complete coverage is rare. Cash-pay $995; insurance-attempt option requires $495 deposit. ICD-10 anchor F50.82 (ARFID) is one path; F95.x tic disorders, F42 OCD, or G93.41 encephalopathy stronger. Strongest claim: acute neuropsychiatric symptoms within 6 weeks of strep documented.",2026-05-16,https://www.moleculeralabs.com/insurance-and-payment/;https://www.aetna.com/cpb/medical/data/400_499/0499.html
BIL-0007,TEST,TEST-0090,0170U,F84.0,never_covered,no,yes,989,1950,no,no,FDA Breakthrough Device but not covered by any commercial plan as of 2026,"Clarifi ASD by Quadrant Biosciences uses PLA (Proprietary Laboratory Analyses) CPT code 0170U. CMS set the gapfill payment rate at $1,950 but assigned no NCD; no commercial plan covers as of 2026. Quadrant offers introductory $989 cash price. Test is positioned as 'aid in diagnosis' not standalone diagnostic; coverage will hinge on Medicaid pediatric coverage decisions. FDA Breakthrough Device designation does not equal coverage. HSA/FSA eligible as diagnostic test.",2026-05-16,https://blog.clarifiasd.com/quadrant-biosciences-receives-pla-code;https://www.aapc.com/codes/cpt-codes/0170U
BIL-0008,TEST,TEST-0012,82542 (x6);82136,E53.9,sometimes_covered,no,yes,180,300,no,partial,Doctor's Data is OON with most commercial plans; insurance-billing option available with higher list price,"Doctor's Data Methylation Profile bills SAM and SAH under 82542 (chromatography) and homocysteine, cystathionine, methionine under 82136 (amino acids; each specimen). The lab offers two prices: 'prompt payment' (cash) $180-220, and 'insurance/Medicare' list at higher rate. Insurance reimbursement is unpredictable; many patients get $0-$50 back. The simpler Quest/LabCorp panel of homocysteine (83090) + MMA (83921) + plasma B12 (82607) + RBC folate (82747) captures most of the same clinical signal AT INSURANCE COVERAGE and runs $40-200 (TEST-0013). FM practitioners often run the comprehensive Doctor's Data only when Quest baseline shows borderline values.",2026-05-16,https://www.doctorsdata.com/methylation-profile-plasma/
BIL-0009,TEST,TEST-0089,no specific code (LDT),Z13.9,never_covered,no,yes,229,499,no,no,Not insurance-billable; cash-pay only,"TruDiagnostic TruAge with DunedinPACE is a laboratory-developed test (LDT) with no AMA CPT code. Not billable to any payer. Cash-pay $229 (TruAge Pace only) to $499 (TruAge Complete). HSA/FSA eligible per TruDiagnostic - they explicitly market HSA/FSA acceptance. Validated for ages 18-70 only; pediatric use is experimental and rarely informative for autism specifically. Use case: track maternal biological age + intervention response, not child's autism profile.",2026-05-16,https://shop.trudiagnostic.com/products/truage-complete-epigenetic-collection;https://www.trudiagnostic.com/truage
BIL-0010,TEST,TEST-0006,no specific code (proprietary panel),Z13.9,never_covered,no,yes,500,1500,no,no,Practitioner-only test; no insurance billing,IntellxxDNA NeuroGenomic report is a clinician-only nutrigenomic panel. No CPT code; the company explicitly states reports are not covered by insurance. Cash-pay $500-$1500 depending on which panel (Mental Wellness vs full Neurodevelopmental). HSA/FSA eligible with LMN. Critical caveat: genetic information enters medical records and is reviewable by life/disability/long-term care insurance underwriters. Order only through a credentialed MAPS/IntellxxDNA-trained clinician. Lower-cost alternative: order 23andMe ($99-199) plus Genetic Genie ($10) or StrateGene ($75) for ~80% of the actionable methylation/detox SNP coverage.,2026-05-16,https://intellxxdna.com/intellxxdna-pricing/;https://intellxxdna.com/for-patients/
