id,name,category,directionality,mechanism_summary,dose_range,cost_per_month_usd,otc_or_rx,pediatric_safe,csrs_score,csrs_last_updated,status,created_at,last_updated,notes,targets_legacy,source_pmids_legacy,source_anecdote_ids_legacy,csrs_score_legacy,csrs_last_updated_legacy
INT-0001,Leucovorin (folinic acid),drug,treatment,Reduced folate that bypasses folate-receptor autoantibody blockade; restores cerebral folate transport. Crosses BBB.,0.5–2 mg/kg/day (max 50 mg/day),60,rx,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Calibration target: CSRS > 80,FOLR1; folate metabolism; methylation cycle,30097774;28250023;28366711,ANE-0001;ANE-0002,89.6,2026-04-24T13:11:52.804324+00:00
INT-0002,Sulforaphane (broccoli sprout extract),supplement,treatment,Activates NRF2 antioxidant response; upregulates phase II detox enzymes; reduces oxidative stress associated with autism phenotypes.,50–200 µmol/day,40,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Singh 2014 RCT in adolescent males,NRF2 pathway; oxidative stress; HSF1; mitochondrial function,25313065;31022192,ANE-0003,83.2,2026-04-24T13:11:52.804324+00:00
INT-0003,Methyl-B12 (methylcobalamin) injection,supplement,treatment,Provides active form of B12 to support methylation; subcutaneous injection bypasses GI absorption issues common in autism.,"75 µg/kg every 3 days, SC",50,rx,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Hendren 2016 RCT,MTR/MTRR; methylation cycle; homocysteine,27585776;19874739,ANE-0004,87.4,2026-04-24T13:11:52.804324+00:00
INT-0004,N-Acetylcysteine (NAC),supplement,treatment,Replenishes glutathione; modulates glutamatergic neurotransmission; documented effect on irritability in ASD trials.,900–2700 mg/day divided,25,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Hardan 2012 RCT for irritability,Glutathione precursor; glutamate modulation; oxidative stress,22342106;26581605,ANE-0005,79.9,2026-04-24T13:11:52.804324+00:00
INT-0005,Bumetanide,drug,treatment,"Loop diuretic that reduces intracellular chloride in immature neurons, restoring GABA's inhibitory polarity. Phase 2 positive; phase 3 mixed.",0.5–1.0 mg twice daily,30,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Lemonnier 2017 phase 2 positive,NKCC1 chloride transporter; GABA polarity,29220032;33658592,ANE-0006,75.8,2026-04-24T13:11:52.804324+00:00
INT-0006,Low-dose naltrexone (LDN),drug,treatment,Sub-clinical doses produce paradoxical immunomodulation; reduces neuroinflammation; case reports in ASD.,0.5–4.5 mg at bedtime,35,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Limited RCT data; broader off-label use,Opioid receptor; TLR4; microglial modulation,8814518,ANE-0007,65.2,2026-04-24T13:11:52.804324+00:00
INT-0007,Ketogenic diet,food,treatment,Shifts brain energy metabolism to ketones; modulates mitochondrial function and GABA tone; small open-label autism trials positive.,Diet protocol (3:1 or 4:1 ratio),200,lifestyle,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Lee 2018 small open-label,BHB; mitochondrial function; GABA; neuroinflammation,23508262;30062247,ANE-0008;ANE-0009,78.4,2026-04-24T13:11:52.804324+00:00
INT-0008,Methylated folate (5-MTHF) — preconception/prenatal,supplement,prevention,Bioavailable form of folate that bypasses MTHFR variants; preconception/prenatal supplementation associated with reduced autism risk in some cohorts.,400–800 µg/day preconception + pregnancy,15,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,Surén 2013 MoBa cohort,MTHFR; methylation cycle; neural tube development,23209385;28196005,,90.5,2026-04-24T13:11:52.804324+00:00
INT-0009,Reverse osmosis water filtration,environmental,cause_mitigation,Removes >99% of PFAS/glyphosate/heavy metals from drinking water; reduces prenatal and childhood exposure to known endocrine disruptors and neurotoxicants.,One-time install $200-500,20,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,See Miami Beach PFAS memo for documented exposure pathway,PFAS; glyphosate; fluoride; heavy metals,,,81.9,2026-04-24T13:11:52.804324+00:00
INT-0010,Leucovorin + methyl-B12 + sulforaphane (combo),combo,treatment,"Combination targets cerebral folate deficiency, methylation cycle dysfunction, and oxidative stress simultaneously. Theoretical combo, not yet RCT-tested as a triple.",Per single-agent doses,150,combo,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,First-class combo example,FOLR1 + methylation + NRF2 antioxidant,30097774;27585776;25313065,ANE-0010,18.6,2026-04-24T13:11:52.804324+00:00
INT-0011,L-carnitine,supplement,treatment,Carnitine deficiency in autism subset; supplementation restores mitochondrial fatty acid oxidation.,50-100 mg/kg/day,25,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,mitochondrial fatty acid oxidation,21531920,,76.5,2026-04-24T13:11:52.804324+00:00
INT-0012,Coenzyme Q10 (ubiquinol),supplement,treatment,Mitochondrial cofactor; ubiquinol form preferred for absorption.,100-300 mg/day,30,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,mitochondrial electron transport; antioxidant,26340301,,71.9,2026-04-24T13:11:52.804324+00:00
INT-0013,Vitamin D3,supplement,treatment,Maternal/postnatal vitamin D deficiency associated with autism risk; supplementation in deficient children improves behaviors.,1000-5000 IU/day,10,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,VDR; immune modulation,27228363;30022480,,78.2,2026-04-24T13:11:52.804324+00:00
INT-0014,Omega-3 (EPA + DHA),supplement,treatment,DHA critical for neurodevelopment; preconception/prenatal omega-3 reduces risk; postnatal modestly benefits behaviors.,1000-2000 mg combined,25,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,DHA; EPA; neuroinflammation,29161196,,86.5,2026-04-24T13:11:52.804324+00:00
INT-0015,Magnesium glycinate,supplement,treatment,Highly bioavailable form; calming effect on hyperactivity.,200-400 mg elemental/day,15,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,NMDA modulation; GABA,,,70.7,2026-04-24T13:11:52.804324+00:00
INT-0016,Zinc (zinc picolinate),supplement,treatment,Zinc deficiency / elevated copper:zinc ratio in autism subset; supplementation normalizes ratio.,20-30 mg/day,10,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,metallothionein; copper:zinc balance,21461562,,76.8,2026-04-24T13:11:52.804324+00:00
INT-0017,Pyridoxal-5-phosphate (active B6),supplement,treatment,"Active B6; cofactor for serotonin, GABA, dopamine; classic Rimland B6+Mg protocol.",10-50 mg/day pediatric,15,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,neurotransmitter synthesis; methylation,16494552,,69.4,2026-04-24T13:11:52.804324+00:00
INT-0018,Trimethylglycine (TMG / betaine),supplement,treatment,Methyl donor for homocysteine remethylation.,500-1500 mg/day,20,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,methylation; homocysteine,,,14.2,2026-04-24T13:11:52.804324+00:00
INT-0019,S-adenosylmethionine (SAMe),supplement,treatment,Universal methyl donor for low-SAMe phenotypes.,200-800 mg/day,60,otc,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,methylation; SAM/SAH ratio,,,13.3,2026-04-24T13:11:52.804324+00:00
INT-0020,Glutathione (liposomal or precursors),supplement,treatment,Master antioxidant; depletion documented in autism.,200-500 mg/day,40,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,oxidative stress; redox,,,54.1,2026-04-24T13:11:52.804324+00:00
INT-0021,Lithium orotate (low-dose),supplement,treatment,Sub-clinical lithium modulates GSK-3beta; some open-label autism reports.,5-20 mg/day,15,otc,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,GSK-3beta; BDNF,,,11.3,2026-04-24T13:11:52.804324+00:00
INT-0022,Inositol (myo-inositol),supplement,treatment,Involved in serotonin/dopamine signaling; small studies in OCD and autism repetitive behaviors.,1-4 g/day,20,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,phosphoinositide signaling,,,64.6,2026-04-24T13:11:52.804324+00:00
