id,phenotype_id,prevalence_estimate_low,prevalence_estimate_high,prevalence_point_estimate,population_context,methodology,sample_size_n,primary_pmid,countervailing_evidence_pmids,evidence_balance,confidence_label,status,created_at,notes
BPP-0001,AUTISM_GENERAL_BASE_RATE,0.02,0.04,0.027,general_population_8_year_olds,CDC ADDM Network active surveillance 11 sites 2020,226339,36952288,,1,HIGH,active,2026-04-30,CDC ADDM 2020 surveillance — autism prevalence 1 in 36 (~2.78%) age 8. Used as engine general-population base rate when no family history.
BPP-0002,AUTISM_GLOBAL_BASE_RATE,0.005,0.03,0.01,global_meta_analysis,systematic review of global prevalence studies,0,35238171,,1,MODERATE,active,2026-04-30,Zeidan 2022 Autism Res — global prevalence systematic review update. Widely-cited median ~1% globally; substantial heterogeneity by region.
BPP-0003,AUTISM_SIBLING_RECURRENCE_RATE,0.1,0.25,0.13,families_with_one_autistic_child_full_sibling,Swedish nationwide registry full-sibling recurrence,2049973,24794370,,1,HIGH,active,2026-04-30,Sandin 2014 JAMA — Swedish nationwide registry. Full-sibling recurrence ~13%. Engine uses this as base rate when family has ≥1 autistic sibling. Also reports paternal age effects.
BPP-0004,AUTISM_HERITABILITY,0.5,0.95,0.83,twin_and_family_heritability_estimate,Swedish nationwide twin + sibling heritability analysis,2049973,28973605,,1,HIGH,active,2026-04-30,Sandin 2017 JAMA — autism heritability estimate ~83% (95% CI 0.50-0.87 in twins). Genetic component dominates; environment substantial in residual.
BPP-0005,AUTISM_PATERNAL_AGE_MODIFIER,1.0,5.75,2.0,paternal_age_relative_risk_per_decade,Israeli draft-board cohort population study,132271,16953005,,1,HIGH,active,2026-04-30,Reichenberg 2006 Arch Gen Psychiatry — paternal age >40 RR ~5.75 vs <30 in this cohort. Engine adjusts maternal/paternal-age priors per this finding.
BPP-0006,PHE-0001,0.5,0.85,0.75,in_autism_population_FRAA_positive,serum FRAA testing in autism cohort,93,22230883,,1,MODERATE,active,2026-04-30,Frye 2013 Mol Psychiatry — FRAA blocking and/or binding antibody positive in ~75% of autism cohort. Subsequent cohorts vary 30-75%; uses FRAA positive as PHE-0001 marker.
BPP-0007,PHE-0001,0.1,0.3,0.2,clinical_CFD_strict_criteria,clinical recognition + CSF 5-MTHF + FRAA testing,0,23314536,,1,MODERATE,active,2026-04-30,Ramaekers 2013 Clin Chem Lab Med — clinical CFD spectrum review. Strict CFD with low CSF 5-MTHF much lower prevalence than FRAA-positive subset; treatable with leucovorin.
BPP-0008,PHE-0001,0.4,0.7,0.55,leucovorin_responder_in_FRAA_positive_subset,12-week placebo-controlled RCT,48,27752075,,1,HIGH,active,2026-04-30,Frye 2018 Mol Psychiatry — RCT leucovorin in FRAA+ autism with language impairment; substantial improvement in verbal communication. Calibration anchor INT-0001 supporting evidence.
BPP-0009,PHE-0002,0.05,0.5,0.3,in_autism_population_mitochondrial_marker_elevated,systematic review and meta-analysis of mito biomarkers,0,21263444,,1,MODERATE,active,2026-04-30,Rossignol 2012 Mol Psychiatry — meta-analysis. ~30% show mito biomarker elevation; ~5% meet strict mito disease criteria. Wide range reflects test sensitivity/specificity variation.
BPP-0010,PHE-0002,0.3,0.8,0.6,in_autism_population_at_least_one_mito_biomarker_abnormal,systematic review of mito biomarkers in ASD,0,38703861,,1,MODERATE,active,2026-04-30,"Frye 2024 Neurobiol Dis — broader systematic review. When any mito biomarker abnormal counted, prevalence rises substantially."
BPP-0011,PHE-0002,0.3,0.7,0.5,in_GI_symptomatic_autism_subset,GI mucosal biopsy mitochondrial function blinded,35,29028817,,1,MODERATE,active,2026-04-30,Rose 2017 PLoS One — mito dysfunction in GI mucosa of autistic children. Cross-link between PHE-0002 and PHE-0004 — mito + GI cluster.
BPP-0012,PHE-0003,0.15,0.4,0.25,in_autism_population_regression_history,comprehensive review of autism regression literature,0,18956241,,1,MODERATE,active,2026-04-30,Stefanatos 2008 Neuropsychol Rev — regression in ASD review. ~25-40% of autism cohorts report developmental regression; methodology variation contributes to range.
BPP-0013,PHE-0003,0.2,0.4,0.3,in_autism_population_regression_validated_by_home_video,home video validation of parent-reported regression,56,16061766,,1,MODERATE,active,2026-04-30,Werner 2005 Arch Gen Psychiatry — validation of autism regression using home video. Confirms parent-reported regression is identifiable on prospective video review; not solely recall artifact.
BPP-0014,PHE-0004,0.2,0.85,0.5,in_autism_population_GI_symptoms,consensus expert review of GI in ASD,0,20048083,,1,MODERATE,active,2026-04-30,Buie 2010 Pediatrics — consensus on GI evaluation in ASD. Wide reported prevalence range (20-85%) reflects diagnostic-criterion variation. Engine uses ~50% as point estimate.
BPP-0015,PHE-0004,0.4,0.8,0.6,in_autism_population_dysbiosis_or_GI_symptoms,cross-sectional comparison autism vs typical-developing,116,21410934,,1,MODERATE,active,2026-04-30,Adams 2011 BMC Gastroenterol — GI flora and GI status differs systematically autism vs typical-developing controls.
BPP-0016,PHE-0005,0.2,0.6,0.4,in_TSC_population_autism_features,TOSCA international natural history TSC cohort,2216,30201051,,1,HIGH,active,2026-04-30,de Vries 2018 Orphanet — TOSCA international TSC natural history cohort. ~40% TSC patients have autism features; range 20-60% across age groups.
BPP-0017,PHE-0005,0.05,0.15,0.1,in_autism_population_PHE_0005_total,estimated from TSC + PTEN + other mTOR-pathway syndromic combined,0,32873244,,1,LOW,active,2026-04-30,de Vries 2020 J Neurodev Disord — TAND clusters. PHE-0005 mTOR-syndromic autism is ~5-15% of full autism population (TSC ~1-3% + PTEN-PHTS ~1-2% + other rare mTOR syndromes ~0-5%). Confidence LOW reflects rough additive estimate.
BPP-0018,PHE-0006,0.3,0.6,0.5,in_FXS_male_population_autism_features,ADI-R + ADOS in FXS male cohort,86,19127654,,1,HIGH,active,2026-04-30,Harris 2008 Am J Ment Retard — autism profile in FXS males ~50%. Distinct from idiopathic autism profile but meets diagnostic criteria.
BPP-0019,PHE-0006,0.01,0.06,0.03,in_autism_population_FXS_full_mutation,FMR1 testing in autism cohorts,0,19127654,,1,HIGH,active,2026-04-30,Harris 2008 + general FXS literature — FXS is ~1-6% of autism cases (lower bound = strict criteria; upper bound includes premutations).
BPP-0020,PHE-0007,0.3,0.65,0.5,in_autism_population_bumetanide_responder,3-month placebo-controlled bumetanide RCT,60,23233021,,1,MODERATE,active,2026-04-30,Lemonnier 2012 Transl Psychiatry — bumetanide RCT in autism. Subset shows clinically-meaningful improvement; defines PHE-0007 GABA/Cl⁻ phenotype. Phase 3 trials showed mixed results consistent with effect heterogeneity (per CLAUDE.md §9).
BPP-0021,PHE-0007,0.1,0.4,0.2,in_autism_population_persistent_immature_GABA_polarity,review of GABA developmental sequence + autism literature,0,25168736,,1,LOW,active,2026-04-30,Ben-Ari 2014 Neuroscience — GABA developmental shift framework. Mechanistic estimate of subset with persistent immature GABA polarity; LOW confidence reflects mechanistic-only basis.
BPP-0022,PHE-0008,0.2,0.5,0.3,in_autism_population_walsh_undermethylator_estimate,extrapolated from Walsh framework population claims; NO primary PMID available — Rossignol 2012 cited as proximal methylation-cycle evidence in autism,0,21263444,,1,LOW,active,2026-04-30,Walsh framework claims ~30-40% undermethylator in autism. No published primary RCT supports this directly. Rows cite proximal methylation-cycle dysfunction evidence (James 2004 / Rossignol meta) rather than fabricating Walsh-specific PMID. Confidence LOW per audit H-10 framework.
BPP-0023,PHE-0009,0.05,0.15,0.08,in_autism_population_walsh_overmethylator_estimate,extrapolated from Walsh framework; no primary PMID available,0,21263444,,1,LOW,active,2026-04-30,Walsh framework claims ~5-10% overmethylator in autism. Same caveats as PHE-0008. Confidence LOW.
BPP-0024,PHE-0010,0.05,0.25,0.12,in_autism_population_walsh_pyroluria_estimate,extrapolated from Walsh framework; no primary PMID available,0,21263444,,1,LOW,active,2026-04-30,Walsh framework claims ~10-20% pyroluria in autism. Same caveats. Confidence LOW.
BPP-0025,PHE-0011,0.1,0.3,0.18,in_autism_population_walsh_cuzn_imbalance_estimate,extrapolated from Walsh framework; no primary PMID available,0,21263444,,1,LOW,active,2026-04-30,Walsh framework claims ~15-25% Cu:Zn imbalance in autism. Same caveats. Confidence LOW.
BPP-0026,AUTISM_GENETIC_DIAGNOSTIC_YIELD,0.05,0.2,0.16,identifiable_genetic_etiology_in_autism_via_chromosomal_microarray_plus_WES,chromosomal microarray + whole-exome sequencing prospective autism cohort,258,26325558,,1,HIGH,active,2026-04-30,Tammimies 2015 JAMA — molecular diagnostic yield ~16% (CMA + WES) in autism. Sets engine prior on probability that a syndromic-genetic cause can be identified.
BPP-0027,PHELAN_MCDERMID_AUTISM_FEATURES,0.7,0.9,0.84,in_PMS_population_autism_criteria_met,clinical and genomic evaluation of PMS cohort,201,24481935,,1,HIGH,active,2026-04-30,Sarasua 2014 Hum Genet — 201 PMS patients clinical/genomic evaluation. ~84% meet autism criteria within PMS. Cross-ref RSG-0006.
BPP-0028,AUTISM_PATERNAL_AGE_MODIFIER_META,1.1,2.0,1.4,paternal_age_relative_risk_per_decade_meta,Swedish nationwide population-based study with meta-analytic comparison,1075588,21116277,,1,HIGH,active,2026-04-30,[H-11 audit fix] Hultman 2011 Mol Psychiatry (PMID 21116277) — Swedish nationwide cohort + meta-analysis of paternal age and autism risk. RR per decade ~1.3-1.5 in meta-analyzed studies. SUPERSEDES single-study estimate in BPP-0005 (Reichenberg 2006 reported RR 5.75 for >40 vs <30 in Israeli draft-board cohort; high-end of single-study range and not representative of the meta-analytic estimate). Engine should prefer this row over BPP-0005 when computing paternal age modifier.
