id,h1_id,h1_name,h2_id,h2_name,n_shared_mechanisms,shared_mechanism_ids,h1_confidence,h2_confidence,rationale,status,created_at
CANDHH-0001,HYP-0029,Tuberous sclerosis (TSC1/TSC2),HYP-0030,PTEN hamartoma syndrome,3,MEC-0009;MEC-0015;MEC-0030,0.4386,0.2333,Both hypotheses act through 3 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0002,HYP-0006,Mitochondrial dysfunction (acquired or inherited),HYP-0069,"Thimerosal exposure (contested, largely removed)",2,MEC-0001;MEC-0010,0.5732,0.5132,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0003,HYP-0008,Maternal immune activation (prenatal infection or autoimmune),HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",2,MEC-0002;MEC-0017,0.7094,0.0967,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0004,HYP-0008,Maternal immune activation (prenatal infection or autoimmune),HYP-0065,Heat shock response insufficiency / 'fever effect' subtype,2,MEC-0002;MEC-0027,0.7094,0.4513,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0005,HYP-0022,Early-life antibiotics (especially first year),HYP-0023,Cesarean section delivery,2,MEC-0008;MEC-0026,0.1133,0.1133,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0006,HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",HYP-0041,Preterm birth / NICU exposure,2,MEC-0002;MEC-0005,0.0967,0.7159,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0007,HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",HYP-0051,Maternal autoimmune comorbidity,2,MEC-0002;MEC-0017,0.0967,0.6633,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0008,HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",HYP-0067,Aluminum adjuvant cumulative exposure (vaccines),2,MEC-0002;MEC-0005,0.0967,0.5355,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0009,HYP-0031,AMPK pathway dysregulation,HYP-0070,Lactate / pyruvate ratio elevation (bioenergetic biomarker),2,MEC-0010;MEC-0011,0.4257,0.3707,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0010,HYP-0039,Sleep disruption / circadian misalignment,HYP-0044,Childhood vaccine exposure (contested),2,MEC-0002;MEC-0010,0.6729,0.6478,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0011,HYP-0040,"Birth complications (hypoxia, instrumental delivery)",HYP-0053,AGE / acrylamide cooking exposures,2,MEC-0001;MEC-0002,0.4891,0.1133,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0012,HYP-0041,Preterm birth / NICU exposure,HYP-0067,Aluminum adjuvant cumulative exposure (vaccines),2,MEC-0002;MEC-0005,0.7159,0.5355,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0013,HYP-0046,Zinc deficiency / copper:zinc imbalance,HYP-0063,Brain glutathione depletion,2,MEC-0001;MEC-0003,0.6615,0.6337,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0014,HYP-0066,Hepatitis B vaccine (neonatal birth-dose),HYP-0068,MMR vaccine specifically (contested),2,MEC-0002;MEC-0032,0.5991,0.6469,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
CANDHH-0015,HYP-0067,Aluminum adjuvant cumulative exposure (vaccines),HYP-0068,MMR vaccine specifically (contested),2,MEC-0002;MEC-0032,0.5355,0.6469,Both hypotheses act through 2 shared mechanisms; suggests possible upstream/downstream or co-cause relationship; needs directional review.,proposed,2026-04-28T15:04:10+00:00
