id,name,category,description,status,evidence_strength,kegg_ids,reactome_ids,opentargets_ids,created_at,last_updated,notes
MEC-0001,Oxidative stress,oxidative,,active,0.7343,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0002,Neuroinflammation,immune_inflammatory,,active,0.7745,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0003,Impaired methylation,metabolic,,active,0.7708,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0004,BBB dysfunction,vascular,,active,0.8336,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0005,Microglial activation,immune_inflammatory,,active,0.7404,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0006,Synaptic pruning abnormalities,neural,,active,0.4671,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0007,GABA/glutamate imbalance,neural,,active,0.6652,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0008,Gut-brain axis disruption,microbial,,active,0.8158,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0009,mTOR pathway dysregulation,metabolic,,active,0.4000,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0010,Mitochondrial dysfunction,metabolic,,active,0.7067,,,,2026-04-24T17:07:31+00:00,2026-04-27T21:33:29+00:00,seeded from spec §4.2 examples
MEC-0011,AMPK signaling,metabolic,,active,0.7561,hsa04152,R-HSA-380972,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,Energy-sensing kinase; activated by low ATP/high AMP. Counter-balances mTOR. Implicated in autism mitochondrial subtype and as metformin's primary target.
MEC-0012,IGF-1 / insulin signaling,endocrine,,active,0.4508,hsa04150,R-HSA-422085,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,Growth-factor axis. Low IGF-1 in autism cohorts; IGF-1 trials in Rett (MECP2) and Phelan-McDermid (SHANK3) ongoing.
MEC-0013,FOXO transcription factors,metabolic,,active,0.0000,hsa04068,R-HSA-9614085,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,"Stress-response and longevity TFs. Regulate autophagy, antioxidant defense, synaptic plasticity. Counter-regulated by IGF-1/AKT."
MEC-0014,SIRTUIN / NAD+ metabolism,metabolic,,active,0.7126,hsa04211,R-HSA-4090294,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,NAD+-dependent deacetylases. SIRT1/3 implicated in mitochondrial biogenesis and neuronal protection. NAD+ levels reportedly low in autism subsets.
MEC-0015,PI3K/AKT signaling,neural,,active,0.2048,hsa04151,R-HSA-9006925,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,Central growth/survival kinase axis. Hyperactivation in PTEN/TSC syndromic autism. Drives mTOR upstream.
MEC-0016,HPA axis dysregulation,endocrine,,active,0.5533,hsa04934,R-HSA-374915,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,Hypothalamic-pituitary-adrenal axis. Elevated baseline cortisol and blunted reactivity reported in autism. Linked to maternal stress transmission and vagal tone.
MEC-0017,Mast cell activation,immune_inflammatory,,active,0.7798,hsa04664,R-HSA-2454202,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,MCAS overlaps with autism in subset; histamine/tryptase release drives BBB permeability and neuroinflammation.
MEC-0018,Endocannabinoid system,neural,,active,0.7808,hsa04723,R-HSA-264642,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,"CB1/CB2 modulation of glutamate, GABA, microglial activation. Anandamide low in some autism cohorts; CBD trials positive."
MEC-0019,Vagus nerve / autonomic regulation,neural,,active,0.8360,hsa04725,R-HSA-112310,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,"Vagal tone regulates inflammation (cholinergic anti-inflammatory pathway), gut-brain signaling, social engagement (polyvagal theory). Reduced HRV variability reported in autism."
MEC-0020,Calcium / glutamate-NMDA homeostasis,neural,,active,0.6647,hsa04020,R-HSA-112315,,2026-04-27T21:14:42+00:00,2026-04-27T21:33:29+00:00,"Excitotoxicity hypothesis; NMDA hyperactivation; calcium dysregulation in mitochondria. Targeted by memantine, riluzole, magnesium."
MEC-0021,Short-chain fatty acid (SCFA) signaling,microbial,,active,0.8255,hsa00640,R-HSA-1430728,,2026-04-27T21:33:28+00:00,2026-04-27T21:33:29+00:00,"Butyrate, acetate, propionate produced by Faecalibacterium, Roseburia, Eubacterium. Modulate microglial maturation, BBB integrity, T-reg differentiation. Both protective (low dose) and toxic (high propionate animal models)."
MEC-0022,Lipopolysaccharide (LPS) endotoxemia / leaky gut,immune_inflammatory,,active,0.5308,hsa04621,R-HSA-446203,,2026-04-27T21:33:28+00:00,2026-04-27T21:33:29+00:00,Increased intestinal permeability allows LPS translocation; TLR4 activation drives systemic + neuroinflammation. Reported elevated in autism cohorts.
MEC-0023,Tryptophan-kynurenine metabolism,metabolic,,active,0.7416,hsa00380,R-HSA-71240,,2026-04-27T21:33:28+00:00,2026-04-27T21:33:29+00:00,Microbial diversion of tryptophan to kynurenine pathway (reducing serotonin synthesis) and to indoles (AhR signaling). Altered ratios reported in autism.
MEC-0024,p-cresol / 4-EPS aromatic metabolite production,microbial,,active,0.4634,hsa00360,,,2026-04-27T21:33:28+00:00,2026-04-27T21:33:29+00:00,"Clostridia produce p-cresol from tyrosine; reaches brain, inhibits dopamine-β-hydroxylase. 4-EPS produced by Bacteroides fragilis-deficient gut induces autism-like behavior in mice (Hsiao 2013)."
MEC-0025,Bile acid metabolism / FXR signaling,metabolic,,active,0.8192,hsa00120,R-HSA-159418,,2026-04-27T21:33:28+00:00,2026-04-27T21:33:29+00:00,"Microbial deconjugation and 7α-dehydroxylation of primary bile acids; secondary bile acids signal via FXR/TGR5 to regulate metabolism, inflammation, neuronal function."
MEC-0026,Microbial GABA / neurotransmitter synthesis,microbial,,active,0.8772,hsa00410,,,2026-04-27T21:33:28+00:00,2026-04-27T21:33:29+00:00,"Specific Lactobacillus and Bifidobacterium strains produce GABA, serotonin precursors, dopamine. Bifidobacterium-deficient autism cohorts may have reduced microbial GABA contribution."
