id,name,category,description,affected_population,status,mainstream_consensus_position,confidence_score,evidence_count,evidence_quality_index,consistency_index,created_at,last_updated,notes,category_legacy,evidence_strength_legacy,epidemiological_strength_legacy,mitigation_intervention_ids_legacy,source_pmids_legacy,csrs_score_legacy,csrs_last_updated_legacy
HYP-0001,FOLR1 autoantibodies / cerebral folate deficiency,other,Maternal or postnatal autoantibodies to FOLR1 block folate transport across blood-brain barrier; causes cerebral folate deficiency phenotype responsive to high-dose folinic acid.,~10-25% of cases (subset),active,,0.7913,39,0.8783,0.6088,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Frye et al. multiple replications,pharmacological,4,4,INT-0001,30097774;28250023,,
HYP-0002,Prenatal acetaminophen (paracetamol) exposure,other,Prenatal acetaminophen associated with increased autism/ADHD risk in multiple cohorts; biological plausibility via oxidative stress and endocannabinoid disruption.,Population-wide if used,active,,0.6621,29,0.8542,0.6373,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Sibling-controlled analyses ongoing,pharmacological,3,3,,37856443;34816275,,
HYP-0003,Maternal folate deficiency during preconception/pregnancy,other,Inadequate methylated folate during neural tube formation increases autism risk; methylated folate supplementation reduces risk in MoBa cohort.,Variable by population,active,,0.6860,14,0.6747,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Surén 2013 MoBa,dietary,4,4,INT-0008,23209385;28196005,,
HYP-0004,PFAS / forever-chemical drinking-water exposure,environmental,"Endocrine-disrupting forever chemicals interfere with thyroid hormone, immune development, and neurodevelopment in utero; bioaccumulate over years; documented contamination in Miami-Dade and other airport-adjacent areas.",Geographic — anywhere with contaminated water,active,,0.5660,29,0.8281,0.7836,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Miami Beach PFAS case study,environmental,3,3,INT-0009,37949131,,
HYP-0005,Glyphosate exposure (food + water),environmental,Glyphosate disrupts gut microbiome shikimate pathway; secondary effects on neurotransmitter synthesis and immune development; epidemiology mixed but mechanistically plausible.,Population-wide via diet,active,,0.6834,29,0.8149,0.7836,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Mostly mechanistic + ecological evidence,environmental,2,2,INT-0009,32569579,,
HYP-0006,Mitochondrial dysfunction (acquired or inherited),genetic,"Subset of autism cases show elevated lactate/pyruvate, abnormal muscle biopsy, and respond to mitochondrial cocktails; may be primary or secondary to oxidative stress.",~30-50% of cases show mitochondrial markers,active,,0.5730,47,0.9333,0.3194,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Frye + Rossignol consensus,genetic,4,4,,20186120;21484871,,
HYP-0007,Gut microbiome dysbiosis / dysbiotic fermentation,other,Distinct gut microbiome composition in autism; enriched Clostridia and depleted SCFA producers; microbial metabolites cross BBB and modulate behavior; FMT trials show durable improvement.,Highly variable,active,,0.6834,41,0.8780,0.3994,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Kang 2017+2019 FMT trials,microbiome,3,3,,30857620;30900698,,
HYP-0008,Maternal immune activation (prenatal infection or autoimmune),other,Maternal infection or autoimmune activation during pregnancy releases cytokines that cross placenta and disrupt fetal neurodevelopment; replicated in animal models and epidemiological studies.,Variable by exposure,active,,0.6149,44,0.8908,0.1887,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Estes & McAllister 2016 review,infectious,4,4,,27974083,,
HYP-0009,Advanced parental age (especially paternal),genetic,Paternal age associated with de novo mutations including in autism-risk genes; effect size modest but consistent across cohorts.,Increases with parental age,active,,0.2524,2,0.1746,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Kong 2012 Iceland whole-genome,genetic,3,3,,21912365,,
HYP-0010,Prenatal valproate (sodium valproate) exposure,other,Valproate during pregnancy causes ~10x increased autism risk; HDAC inhibitor mechanism; FDA warning; widely used as ASD model in animal research.,Children of women on valproate during pregnancy,active,,0.5743,22,0.7475,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Christensen 2013 cohort,pharmacological,5,5,,23613074,,
HYP-0011,Phthalate exposure (prenatal+postnatal),environmental,Phthalates endocrine disruptors; prenatal exposure neurodevelopmental delays.,Population-wide via plastics,active,,0.3732,1,0.1991,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,3,3,INT-0052,32569579,,
HYP-0012,BPA / bisphenol exposure,environmental,Disrupts thyroid+estrogen signaling; prenatal-autism associations.,Population-wide via plastics,active,,0.3732,1,0.1991,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,3,3,INT-0052,,,
HYP-0013,"Air pollution (PM2.5, traffic)",environmental,Strong epi evidence linking prenatal/early-life PM2.5 to autism.,Urban + freeway-adjacent,active,,0.2960,1,0.1201,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,4,4,INT-0051,,,
