id,from_id,from_type,to_id,to_type,edge_table,relation_type,polarity,rationale,supporting_pmids,status,created_at,verification_query
CAND-0001,HYP-0025,hypothesis,MEC-0002,mechanism,hypothesis_mechanism_edges,acts_through,supporting,Maternal viral infection drives sustained fetal neuroinflammation via maternal cytokine surge.,34768946;38398873,verified,2026-04-28T02:13:59+00:00,maternal immune activation autism neuroinflammation cytokine
CAND-0002,HYP-0025,hypothesis,MEC-0005,mechanism,hypothesis_mechanism_edges,acts_through,supporting,MIA produces persistent microglial priming in offspring.,28698032;38990389,verified,2026-04-28T02:13:59+00:00,maternal immune activation microglia offspring brain autism
CAND-0003,HYP-0025,hypothesis,MEC-0017,mechanism,hypothesis_mechanism_edges,acts_through,supporting,Maternal mast-cell activation contributes to BBB permeability changes downstream of MIA.,34575637;21193035,verified,2026-04-28T02:13:59+00:00,mast cell activation autism brain blood-brain barrier
CAND-0004,HYP-0025,hypothesis,PHE-0003,phenotype,intervention_phenotype_edges,manifests_as,supporting,Prenatal viral infection epidemiologically associated with autism risk and regressive presentation.,27287966;25218900,verified,2026-04-28T02:13:59+00:00,maternal infection pregnancy autism risk epidemiology cohort
CAND-0005,HYP-0028,hypothesis,MEC-0006,mechanism,hypothesis_mechanism_edges,acts_through,supporting,SFARI Tier-1 synaptic genes converge on synaptic pruning/maturation pathways.,25363760;22749736,verified,2026-04-28T02:13:59+00:00,autism risk genes synaptic function (broadened)
CAND-0006,HYP-0028,hypothesis,MEC-0007,mechanism,hypothesis_mechanism_edges,acts_through,supporting,Polygenic risk converges on E/I balance via channelopathies.,28452083;39221783,verified,2026-04-28T02:13:59+00:00,autism excitation inhibition balance GABA glutamate genes
CAND-0007,HYP-0028,hypothesis,MEC-0009,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"TSC, PTEN syndromic mutations confirm mTOR is a major convergence point in ASD.",28335463;24574959,verified,2026-04-28T02:13:59+00:00,autism mTORC1 signaling (broadened)
CAND-0008,HYP-0028,hypothesis,PHE-0005,phenotype,intervention_phenotype_edges,manifests_as,supporting,TSC/PTEN macrocephaly mTOR-syndromic phenotype.,25916396;31609537,verified,2026-04-28T02:13:59+00:00,PTEN macrocephaly autism mTOR clinical phenotype
CAND-0009,HYP-0028,hypothesis,PHE-0006,phenotype,intervention_phenotype_edges,manifests_as,supporting,FMR1 fragile X autism syndromic phenotype review.,37759552;32026885,verified,2026-04-28T02:13:59+00:00,FMR1 fragile X autism syndrome review clinical
CAND-0010,INT-0036,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Rapamycin (mTOR inhibitor) → FOXO disinhibition → autophagy.,31572724;35535114,verified,2026-04-28T02:13:59+00:00,rapamycin mTOR FOXO autophagy
