id,from_id,from_type,to_id,to_type,edge_table,relation_type,polarity,rationale,supporting_pmids,status,created_at
CAND-0001,HYP-0025,hypothesis,MEC-0002,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"Maternal viral infection drives sustained fetal neuroinflammation via maternal cytokine surge (IL-6, IL-17a). MIA model is the most studied prenatal autism risk pathway.",19533774;17314324;26773308,proposed,2026-04-28T02:00:15+00:00
CAND-0002,HYP-0025,hypothesis,MEC-0005,mechanism,hypothesis_mechanism_edges,acts_through,supporting,MIA produces persistent microglial priming in offspring; replicated in poly(I:C) and LPS rodent models.,17314324;27121379,proposed,2026-04-28T02:00:15+00:00
CAND-0003,HYP-0025,hypothesis,MEC-0017,mechanism,hypothesis_mechanism_edges,acts_through,supporting,Maternal mast-cell / histaminergic activation contributes to BBB permeability changes downstream of MIA.,27121379,proposed,2026-04-28T02:00:15+00:00
CAND-0004,HYP-0025,hypothesis,PHE-0003,phenotype,intervention_phenotype_edges,manifests_as,supporting,Children exposed to first-trimester maternal infection show elevated regression rates and immune-inflammatory phenotype markers.,19533774,proposed,2026-04-28T02:00:15+00:00
CAND-0005,HYP-0028,hypothesis,MEC-0006,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"SHANK3, NLGN, NRXN, FMR1 — the SFARI Tier-1 synaptic genes — converge on synaptic pruning/maturation pathways.",26402605;30804558,proposed,2026-04-28T02:00:15+00:00
CAND-0006,HYP-0028,hypothesis,MEC-0007,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"Polygenic risk converges on E/I balance via SCN2A, GRIN2B, GABRB3 channelopathies.",30804558,proposed,2026-04-28T02:00:15+00:00
CAND-0007,HYP-0028,hypothesis,MEC-0009,mechanism,hypothesis_mechanism_edges,acts_through,supporting,"TSC1, TSC2, PTEN syndromic mutations confirm mTOR is a major convergence point of monogenic and polygenic ASD risk.",28279400,proposed,2026-04-28T02:00:15+00:00
CAND-0008,HYP-0028,hypothesis,PHE-0005,phenotype,intervention_phenotype_edges,manifests_as,supporting,"Polygenic risk enriched in mTOR-pathway syndromic phenotype (TSC, PTEN macrocephaly).",28279400,proposed,2026-04-28T02:00:15+00:00
CAND-0009,HYP-0028,hypothesis,PHE-0006,phenotype,intervention_phenotype_edges,manifests_as,supporting,FMR1 is the canonical polygenic-→-syndromic bridge.,19015572,proposed,2026-04-28T02:00:15+00:00
CAND-0010,INT-0036,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Rapamycin (mTOR inhibitor) → FOXO disinhibition. Rapamycin's neuroprotective profile in autism syndromic models partially operates through FOXO-driven autophagy.,23446215,proposed,2026-04-28T02:00:15+00:00
