id,name,provider,origin_year,framework_class,description,test_panel,intervention_stack,target_population,evidence_strength,clinical_availability,cost_estimate,key_researcher_id,key_pmids,created_at,last_updated,notes
PROT-0001,Walsh biotyping protocol,Walsh Research Institute / Mensah Medical,"1990s, refined 2000s-2010s",methylation_biotyping,Whole-blood histamine + Cu:Zn + plasma zinc + ceruloplasmin + urinary kryptopyrroles biotype the child into undermethylator/overmethylator/pyroluria/Cu:Zn-overload subtypes; targeted nutrient protocol per biotype,Whole-blood histamine; SAM/SAH; Cu/Zn/Cu:Zn; ceruloplasmin; kryptopyrroles; B6/P5P; methylation SNPs,Biotype-specific: methyl donors for under; folate-cautious for over; B6/zinc/GLA for pyroluria; zinc/molybdenum for Cu overload,All autistic children with methylation involvement,Decades clinical experience; limited large RCTs,Mensah Medical (Chicago); Walsh-trained clinicians worldwide,$1500-3000 initial workup,Walsh_William,,2026-04-30T02:26:58+00:00,2026-04-30T13:10:27+00:00,See PHE-0008/0009/0010/0011 for biotype phenotype entries
PROT-0002,Frye FRAA + leucovorin protocol,Drfryemdphd.com / multiple MAPS clinicians,2010s,folate_pathway,"FRAA antibody panel → if positive, leucovorin (folinic acid) trial 0.5-2 mg/kg/day stratified by FRAA status",FRAA blocking + binding; CSF 5-MTHF if confirmable,Leucovorin first-line; methyl-B12 + 5-MTHF + cofactors; calibrated by SNP profile,FRAA-positive (~70-75% of autism); language-impaired ASD,RCT-grade (Frye 2018 PMID 27752075); calibration anchor in atlas,MAPS-trained physicians + Frye consultations,$300-500 FRAA test + $50-100/month leucovorin,Frye_Richard,27752075,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Highest-evidence pediatric biomedical autism protocol
PROT-0003,Yasko SNP-targeted methylation protocol,Holistic Health Inc / dr Amy Yasko,2000s,methylation_genetic,30+ methylation-cycle SNPs (MTHFR/MTRR/MTR/COMT/CBS/BHMT/AHCY/MAT/SUOX/NOS) drive sequential nutrient-introduction protocol; clear toxicants → support transsulfuration → B12/B6 → methyl donors,23andMe + StrateGene/SelfDecode/Yasko Nutrigenomic Panel,Sequential SNP-calibrated nutrients + RNA support,Methylation-driven ASD; complex multi-SNP profiles,Mechanistic + clinical; not large RCT,Holistic Health Inc + Yasko-trained clinicians,varies; SNP panel ~$200-400 + protocol stack,Yasko_Amy,,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,
PROT-0004,Neubrander methyl-B12 SC protocol,Neubrander Clinic / MAPS clinicians,early 2000s,methylation_pathway,Subcutaneous methylcobalamin every-3-days dosing protocol for autism methylation support,B12 + MMA + SAM/SAH + methylation SNPs,Methylcobalamin SC ~64.5 mcg/kg every 3 days; often combined with leucovorin,B12/methylation-deficient autism subgroup,Decades clinical; limited large trials,MAPS-trained physicians; compounding pharmacy required,$50-150/month for compounded methyl-B12,Neubrander_James,,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,
PROT-0005,Bock Plan (4-A epidemic framework),Bock Integrative Medicine,2000s,functional_pediatric_general,Comprehensive layered biomedical protocol: foundational (food/sleep/environment) → gut healing → detoxification → methylation/mitochondrial → immune/neurotransmitter,Comprehensive food sensitivity; metals; gut microbiome; methylation; mitochondrial; neurotransmitters,Multi-domain layered protocol,Autism + ADHD + asthma + allergies (4-A) cluster,Clinical-volume; book-published,Bock Integrative Medicine (NY/Manhattan); telehealth,,Bock_Kenneth,,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,
PROT-0006,Klinghardt protocols,Sophia Health Institute / Klinghardt-trained,2000s,chronic_infection_environmental,Five-tier protocol: detox → reduction of biotoxins → mitochondrial support → autonomic regulation → trauma/cognitive integration. Heavy emphasis on Lyme + tick-borne + mold + heavy-metal subgroups,Heavy metals; mycotoxins; Lyme + co-infections; ART/autonomic-response testing,Biotoxin binders + Lyme protocols + KMT (Klinghardt Matrix Therapy),Chronic-infection / environmental-toxicant subgroup,Clinical experience; limited peer-review,Sophia Health Institute + Klinghardt-trained worldwide,,Klinghardt_Dietrich,,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,More controversial; emphasis on chronic biotoxin / Lyme subset Klinghardt Academy provides certification.
PROT-0007,MAPS framework (Medical Academy of Pediatric Special Needs),MAPS-trained clinicians,2010s,functional_pediatric_curriculum,Standardized training curriculum for biomedical pediatric autism care; integrates Frye / Walsh / Bock / Yasko / Neubrander frameworks; certification program,Comprehensive biomedical workup,Multi-framework integrated; protocols vary by clinician,Biomedical autism + special-needs pediatrics,Aggregates underlying frameworks,MAPS-trained clinicians worldwide; certification searchable,,,,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Most-common 'who do I find' answer for biomedical autism care
PROT-0008,ARI (Autism Research Institute) DAN! protocol legacy,ARI / functional medicine community,1990s-2000s,foundational_biomedical,"Foundational biomedical autism protocol from ARI (Defeat Autism Now!) era; established gluten/casein-free diet, methyl-B12, leucovorin, antifungal protocols, chelation; predecessor to MAPS",Original biomedical workup,Diet + supplements + targeted protocols,Foundational biomedical autism,Historical foundation; many components later supported in RCT,DAN! formally retired; superseded by MAPS,,Rimland_Bernard,,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,Historical foundation; DAN! certifications no longer issued Founded by Bernard Rimland (1965); DAN! formally retired 2011.
PROT-0009,Hazan familial FMT protocol,ProgenaBiome / Sabine Hazan FDA IND,2020s,microbiome_intervention,Sibling-donor FMT under FDA IND with full pre/post sequencing; iterative reflorization targeting Bifidobacterium restoration,Full microbiome sequencing pre/post (ProgenaBiome),Sibling-donor FMT + diet + targeted probiotics,Severe ASD with documented Bifidobacterium depletion / microbiome dysbiosis,FDA IND + ACG award + peer-reviewed case (PMID 38715916); twins case,ProgenaBiome (Ventura CA) under FDA IND NCT04878718,varies; research-clinic basis,Hazan_Sabine,38715916,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,
PROT-0010,Adams MTT (Microbiota Transfer Therapy),Arizona State University,2017,microbiome_intervention,Structured 2-week antibiotic preconditioning + microbiota dosing + prolonged oral maintenance phase. Peer-reviewed Phase 2 trial.,Standard ASD biomedical + microbiome composition,MTT structured protocol,Autism with GI involvement,Phase 2 RCT-grade; 2-year sustained outcomes,ASU clinical trial enrollment,,Adams_James,"28122648,30967657",2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,
