id,name,description,rationale,interaction_warnings,csrs_score,csrs_last_updated,status,created_at,last_updated,notes,member_intervention_ids_legacy,csrs_score_legacy,csrs_last_updated_legacy,csrs_prevention_score,csrs_prevention_last_updated,csrs_treatment_score,csrs_treatment_last_updated
COM-0001,Leucovorin + Methyl-B12 + Sulforaphane,No published RCT of the triple. Each component has positive RCT individually. Anecdotal reports (ANE-0010) suggest synergistic effect. High priority for first-class combo investigation.,"Targets cerebral folate deficiency (leucovorin), methylation cycle (B12), and oxidative stress / NRF2 (sulforaphane) simultaneously — three independent mechanisms commonly co-occurring in autism phenotypes.",Generally safe; monitor for excess methylation symptoms in COMT++ children.,53.96,2026-04-29T22:13:43+00:00,active,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Calibration combo example,INT-0001;INT-0003;INT-0004,,,,,,
COM-0002,Methylated folate + Choline + Omega-3 (preconception/prenatal),Strong individual-component evidence; combo not yet RCT-tested as such; biological rationale strong.,"Methylation substrate stack covering folate (5-MTHF), choline (methyl donor), and DHA/EPA (membrane integrity + neuroinflammation). Each reduces autism risk individually in cohort data.",None significant; standard prenatal vitamin caveats.,55.03,2026-04-29T22:13:43+00:00,active,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Preconception/prenatal combo,INT-0008,,,,,,
COM-0003,GFCF diet + L-glutamine + Probiotics (gut-axis combo),Mixed individual evidence; combo not RCT-tested; strong anecdotal endorsement.,Gluten-free + casein-free diet + intestinal permeability repair + microbiome modulation; targets the gut-brain axis hypothesis as an integrated stack.,None significant; ensure adequate calcium/D if GFCF.,55.57,2026-04-29T22:13:43+00:00,active,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Gut-axis combo,,,,,,,
COM-0004,Reverse-osmosis water + Organic produce + Glass storage (environmental remediation combo),Mechanistic rationale strong; individual components evidence-supported; combo as risk-reduction strategy.,"Reduces total body burden of PFAS, glyphosate, phthalates, and BPA — three independently-documented endocrine disruptors and neurotoxicants implicated in autism risk.",None.,33.37,2026-04-29T22:13:43+00:00,active,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,Environmental combo for prevention,INT-0009,,,,,,
COM-0005,Preconception mitochondrial optimization combo (parental),"3-6 month preconception protocol for both prospective parents targeting mitochondrial DNA quality, methylation capacity, antioxidant pool, and epigenetic programming during gametogenesis.",Mitochondrial dysfunction reported in 30-80% of autism (Rossignol 2011 meta); ova/sperm mitochondrial DNA reflect parental metabolic state at gametogenesis. Multi-nutrient preconception support targets the highest-leverage modifiable window.,Generally well-tolerated; monitor selenium dose (narrow therapeutic window); monitor for excess methylation symptoms in COMT++ individuals.,51.00,2026-04-29T22:13:43+00:00,active,2026-04-27T22:00:07+00:00,2026-04-29T22:13:43+00:00,Mirrors INT row of same name. Combination is evidence-driven per spec §1.2.,,,,,,,
COM-0006,Leucovorin + Methyl-B12 + Vitamin D,Cerebral folate + methylation + immune-trophic vitamin D triple. Each component has independent RCT support; combination is anecdotally common in functional medicine but not formally RCT-tested.,Triple-axis support for the FRAA-positive + methylation-impaired + vitamin-D-insufficient subset. Frye 2018 leucovorin RCT (FRAA+ 78% responder rate) + Hendren 2016 methyl-B12 RCT (low-methionine 52% responder) + vitamin D status as immune-trophic substrate.,Monitor for excess methylation symptoms in COMT++ children. Vitamin D titrate to 25-OH-D 50-80 ng/mL.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0007,5-MTHF + P5P (B6) + TMG/Betaine,Methylation-cycle substrate stack: 5-MTHF (folate cycle) + P5P (transsulfuration cofactor) + TMG (alternative methyl donor via BHMT pathway).,"Walsh under-methylator subset (low SAM/SAH, low histamine) plus elevated-homocysteine subset. Targets the methylation cycle from three independent biochemical entry points.",Monitor for anxiety/hyperactivity in COMT++ over-methylators (folate may worsen this subset). Adjust dose by histamine + SAM/SAH retest at 8-12 weeks.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0008,Mito-CNS stack: ALCAR + CoQ10 ubiquinol + Alpha-lipoic acid,BBB-crossing mitochondrial stack. ALCAR + CoQ10 ubiquinol + alpha-lipoic acid. Note: this duplicates partial coverage of INT-0055 mitochondrial cocktail (CoQ10+L-carnitine+B-complex); narrows to CNS-specific variant.,Targets PHE-0002 (mitochondrial dysfunction) — three convergent mechanisms: ALCAR shuttles fatty acids across the inner mitochondrial membrane + crosses BBB; ubiquinol-form CoQ10 supports ETC complex III; alpha-lipoic acid regenerates intracellular glutathione + is dihydrolipoyl cofactor for PDH/KGDH.,Mostly well-tolerated. Alpha-lipoic acid can lower blood sugar; monitor in metabolic conditions.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0009,Energy-substrate stack: D-ribose + Creatine + L-carnitine,Energy-substrate stack for mitochondrial-fatigue phenotypes. D-ribose supports ATP regeneration via pentose phosphate; creatine provides phosphocreatine buffer; L-carnitine for fatty-acid β-oxidation.,Bioenergetic substrate triple for mito-vulnerable subset. Each component addresses a different rate-limiting step of cellular energy production.,D-ribose at high doses can lower blood sugar; titrate. Creatine generally well-tolerated.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0010,Anti-inflammatory polyphenol stack: Liposomal curcumin + Quercetin phytosome + Omega-3,Inflammation-resolution stack. Each component independently anti-inflammatory; combination saturates multiple inflammation-resolution pathways.,"Targets PHE-0003 (immune-brain inflammation). Liposomal curcumin (FRM-0017) inhibits NF-κB at high systemic bioavailability; quercetin phytosome inhibits mast cell degranulation; omega-3 (EPA→resolvins, DHA→neuroprotectins).",Quercetin + curcumin may potentiate platelet inhibition; monitor in coagulopathy or pre-surgical contexts. Avoid high-dose curcumin with chemotherapy.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0011,Glutathione regeneration stack: Sulforaphane + Liposomal glutathione + NAC,Three-mechanism glutathione support. Sulforaphane induces endogenous glutathione synthesis via Nrf2; liposomal glutathione provides exogenous reduced glutathione; NAC provides cysteine precursor.,Singh 2014 RCT showed 34.6% responder rate for sulforaphane monotherapy. Combination addresses both endogenous synthesis capacity (sulforaphane + NAC) and direct GSH replacement (liposomal). Targets oxidative-stress subset.,Generally well-tolerated. Sulforaphane requires active myrosinase (FRM-0028); standard turmeric-style commodity sources have variable conversion.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0012,Mast-cell stabilizer stack: Luteolin + Quercetin + Rutin (NeuroProtek-style),Polyphenol triple matching the Tsilioni 2015 NeuroProtek formulation (luteolin 100 mg + quercetin 70 mg + rutin 30 mg).,"Targets PHE-0003 inflammatory subset, specifically MCAS-overlap children with elevated IL-6/TNF (Tsilioni 2015 identified n=10/38 high-cytokine subset who showed VABS improvement). Three flavonoids with overlapping mast-cell stabilization + anti-inflammatory action.",Generally safe at recommended doses. Bioavailability is the rate-limiting step; consider phytosome or liposomal forms for high-dose applications.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0013,Gut-repair stack: Bifidobacterium infantis EVC001 + L-glutamine + Zinc carnosine,Targeted gut-mucosal repair. EVC001 strain reconstitutes infant-gut microbiome niche (Hsiao 2013 framework); L-glutamine fuels enterocytes; zinc carnosine repairs tight junctions.,Targets PHE-0004 (gut–microbiome) — particularly the early-postnatal-window dysbiosis associated with regression phenotype. Bifidobacterium infantis is strain-specific (FRM-0034) — distinct from generic multi-strain probiotics (FRM-0037 contested).,L-glutamine: monitor in liver/kidney dysfunction. Zinc carnosine: long-term high-dose zinc displaces copper; monitor Cu:Zn ratio.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0014,VSL#3 / Visbiome + Bovine colostrum + L-glutamine (intensive gut-repair),"Intensive gut-mucosal-repair stack. VSL#3 / Visbiome multi-strain (FRM-0036) + bovine colostrum (IgG-rich, growth-factor) + L-glutamine for enterocyte fuel.",GI-symptomatic + intestinal-permeability phenotype. VSL#3 has IBD/UC RCT support (FRM-0036 RCT-validated); colostrum adds passive IgG + growth factors that promote epithelial repair.,Colostrum is bovine-derived; consider in dairy-sensitive children. L-glutamine cautions per above.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0015,Microbiota repair + immune-modulation: MTT + Bifidobacterium infantis + LDN,Sequential microbiota repair + immune modulation. Microbiota Transfer Therapy (MTT) provides whole-community restoration (Kang 2017 89% GI responder rate); strain-specific maintenance probiotic; LDN for systemic immune-modulation downstream.,PHE-0004 (GI) + PHE-0003 (inflammation) overlap subset. MTT establishes the microbial baseline; LDN modulates immune-tone in subsequent months as gut-brain axis recalibrates.,MTT requires specialized provider (Adams lab protocol or equivalent). LDN compounded; dose titration usually 0.5 → 4.5 mg over 4-6 weeks.,,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
COM-0016,Calm-axis stack: L-theanine + Magnesium glycinate + Saffron,Anxiolytic + sleep-supportive stack. L-theanine modulates glutamate/GABA balance + induces alpha-wave activity; magnesium glycinate is NMDA-receptor modulator + GABA-A co-agonist; saffron has mood + anxiety effects in adolescent RCTs (Lopresti 2018).,"Anxiety-predominant subset; co-occurring sleep onset issues. Three-mechanism calm-axis support (glutamate, NMDA, serotonergic).","Saffron at therapeutic doses (30 mg/d) generally well-tolerated; very high doses (>1.5 g) toxic. Magnesium glycinate well-tolerated; avoid magnesium oxide (FRM-0051 contested — laxative effect, low bioavailability).",,,candidate,2026-05-12T23:53:55.993028+00:00,2026-05-12T23:53:55.993028+00:00,Promoted from autonomous-discoveries pipeline review; awaiting scoring pass.,,,,,,,
