id,source_id,fragment_type,text_excerpt,structured_payload,effect_direction,strength_score,extraction_method,extraction_confidence,date_extracted,notes
EVD-000001,SRC-000001,result,"Sixty-eight children with non-syndromic autism spectrum disorder were randomized to high-dose folinic acid (2 mg/kg/day, max 50 mg/day) versus placebo for 12 weeks. Folinic acid significantly improved verbal communication; effect size larger in FOLR1 autoantibody-positive subgroup.","{""outcome"": ""Verbal communication (CELF, PLS); FOLR1 autoantibody status"", ""effect_size"": ""Cohen's d = 0.7 (intent-to-treat); larger in FOLR1+ subgroup"", ""p_value"": ""<0.001"", ""replicated"": ""yes"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",positive,0.5225,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000002,SRC-000002,result,Folate receptor autoantibodies (FRAA) detected in majority of children with autism; binding and blocking antibodies described; prevalence dramatically higher than in neurotypical controls.,"{""outcome"": ""FOLR1 autoantibody prevalence in autism vs. controls"", ""effect_size"": ""60-75% prevalence in autism vs. <10% controls"", ""p_value"": ""<0.001"", ""replicated"": ""yes"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",positive,0.4250,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000003,SRC-000003,result,"Forty-four young men with moderate-to-severe ASD received sulforaphane (50-150 µmol) or placebo for 18 weeks. Substantial improvements in irritability, lethargy, repetitive behavior, and social responsiveness in treatment group.","{""outcome"": ""Aberrant Behavior Checklist; Social Responsiveness Scale"", ""effect_size"": ""ABC -34%; SRS -17% vs. placebo"", ""p_value"": ""<0.001 ABC; 0.017 SRS"", ""replicated"": ""partial"", ""legacy_intervention_id"": ""INT-0002"", ""legacy_cause_id"": ""CAU-0006"", ""is_secondary_literature"": false}",positive,0.3919,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000004,SRC-000004,result,Methylcobalamin 75 µg/kg every 3 days for 8 weeks. Methylation biomarkers improved significantly; clinical effect borderline but biomarker-supported.,"{""outcome"": ""Clinical Global Impression; methylation biomarkers"", ""effect_size"": ""CGI improvement 30% vs. 13% placebo (p=0.06); biomarker effects significant"", ""p_value"": ""0.06 (CGI); <0.05 (biomarkers)"", ""replicated"": ""partial"", ""legacy_intervention_id"": ""INT-0003"", ""legacy_cause_id"": ""CAU-0006"", ""is_secondary_literature"": false}",positive,0.4987,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000005,SRC-000005,result,N-acetylcysteine 900 mg/day titrated to 2700 mg/day over 12 weeks reduced irritability in children with autism; presumed glutathione/oxidative stress mechanism.,"{""outcome"": ""Aberrant Behavior Checklist - Irritability subscale"", ""effect_size"": ""Significant reduction in irritability vs. placebo"", ""p_value"": ""0.001"", ""replicated"": ""partial"", ""legacy_intervention_id"": ""INT-0004"", ""legacy_cause_id"": ""CAU-0006"", ""is_secondary_literature"": false}",mixed,0.2547,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000006,SRC-000006,result,Bumetanide 0.5-1 mg twice daily for 90 days reduced autism severity on CARS; signal positive in phase 2; subsequent phase 3 trials mixed.,"{""outcome"": ""CARS; CGI"", ""effect_size"": ""CARS reduction 5.6 points vs. 1.8 placebo"", ""p_value"": ""<0.001"", ""replicated"": ""partial"", ""legacy_intervention_id"": ""INT-0005"", ""is_secondary_literature"": false}",positive,0.4987,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000007,SRC-000007,result,"Norwegian Mother and Child Cohort Study (MoBa) of 85,176 children. Periconceptional folic acid supplementation associated with 39% reduction in autism risk.","{""outcome"": ""Autism risk by maternal folate supplementation timing"", ""effect_size"": ""OR 0.61 (0.41-0.90) with periconceptional folate use"", ""p_value"": ""0.013"", ""replicated"": ""yes"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.2500,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000008,SRC-000008,result,Two-year follow-up of microbiota transfer therapy in 18 children with autism. Sustained improvement in GI symptoms and autism behaviors; microbiome composition shifted toward neurotypical.,"{""outcome"": ""Childhood Autism Rating Scale; Social Responsiveness Scale; GI symptoms"", ""effect_size"": ""GI symptoms reduced 80%; CARS reduced 47% sustained at 2 years"", ""p_value"": ""<0.001"", ""replicated"": ""partial"", ""legacy_cause_id"": ""CAU-0007"", ""is_secondary_literature"": false}",positive,0.1350,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000009,SRC-000009,result,"Swedish nationwide cohort of ~2.5M children. Crude analyses showed elevated autism risk with prenatal acetaminophen but the association was eliminated after sibling-control analyses, suggesting confounding.","{""outcome"": ""Autism, ADHD, and intellectual disability incidence by prenatal acetaminophen exposure"", ""effect_size"": ""Sibling-controlled HR ~1.0 (no effect after sibling control)"", ""p_value"": ""ns (sibling-controlled)"", ""replicated"": ""partial"", ""legacy_cause_id"": ""CAU-0002"", ""is_secondary_literature"": false}",mixed,0.2438,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000010,SRC-000010,result,"Identified 6:2 fluorotelomer sulfonate (chemical fingerprint of airport AFFF) as dominant PFAS in Miami River, with concentrations decreasing offshore. Hot spots at Miami River, Little River, and Biscayne Canal discharge points.","{""outcome"": ""PFAS concentrations in Biscayne Bay surface and deep waters"", ""effect_size"": ""Inshore mean ∑PFAS 29.52 ng/L vs offshore 5.18 ng/L; 6:2 FTS dominant"", ""p_value"": ""<0.05"", ""replicated"": ""yes"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",positive,0.2500,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000011,SRC-000011,result,The cerebral folate receptor alpha (FRα) transports 5-methyltetrahydrofolate (5-MTHF) into the brain; low 5-MTHF in the brain causes cerebral folate deficiency (CFD). CFD has been associated with autism spectrum disorders (ASD) and is treated with,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000012,SRC-000012,result,We sought to determine whether high-dose folinic acid improves verbal communication in children with non-syndromic autism spectrum disorder (ASD) and language impairment in a double-blind placebo control setting. Forty-eight children (mean age 7 years 4  months; 82% male) with ASD and language impairment were randomized to receive 12 weeks of high-dose folinic acid (2 mg kg,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000013,SRC-000013,result,"Autism spectrum disorder (ASD) is a heterogeneous neurodevelopmental disorder with life-long consequences that affects up to 1 in 44 children. Treatment with leucovorin (folinic acid), a reduced form of folate, has been shown to improve symptoms in those with ASD and folate pathway abnormalities in controlled clinical trials. Although soluble folate binding proteins (sFBPs) have been observed in the serum of some patients with ASD, the significance of this finding has not been studied. Here, we ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
