id,name,category,subcategory,alternate_names,sample_type,units,reference_low,reference_high,reference_optimal_low,reference_optimal_high,age_caveat,what_it_measures,elevated_means,low_means,test_availability,test_cost_usd_low,test_cost_usd_high,turnaround_days,clia_status,lab_options,snp_dependence,interpretation_summary,mechanisms_indicated,phenotypes_stratified,interventions_modulates,hypotheses_tests,key_pmids,created_at,last_updated,notes
BIO-0001,S-adenosylmethionine (SAM),methylation_cycle,methyl_donor,,plasma,nmol/L,70,125,,,,Universal methyl donor; substrate for all methyltransferases,Overmethylator phenotype; folate caution; potential mania risk,Undermethylator phenotype; impaired DNA/protein/lipid methylation,commercial,80,180,,CLIA,"Doctor's Data, Genova",,Paired with SAH to compute SAM/SAH ratio (methylation capacity),MEC-0003,PHE-0001,"INT-0001,INT-0008",HYP-0001,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Foundational methylation biomarker per James Jill 2004 Am J Clin Nutr framework.
BIO-0002,S-adenosylhomocysteine (SAH),methylation_cycle,,,plasma,nmol/L,10,30,,,,Methyltransferase product; rises when methylation outflow blocked,Methylation-cycle inhibition; usually paired with low SAM/SAH ratio,Generally non-pathological,commercial,80,180,,,"Doctor's Data, Genova",,,MEC-0003,,"INT-0001,INT-0008",HYP-0001,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0003,SAM/SAH ratio,methylation_cycle,methylation_capacity,,plasma,ratio,3.0,6.0,4.0,6.0,,Net methylation capacity — the single most informative methylation biomarker,Overmethylator state; folate caution,Impaired methylation; undermethylator state; leucovorin/methyl-B12 candidate,commercial,,,,,Doctor's Data DDI methylation panel,"MTHFR C677T, MTRR, MTR, BHMT all affect interpretation",,MEC-0003,PHE-0001,"INT-0001,INT-0008","HYP-0001,HYP-0003","15585776,19056591",2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Walsh biotyping framework + James biochemistry foundation.
BIO-0004,Plasma methionine,methylation_cycle,,,plasma,μmol/L,15,40,,,,Methionine cycle substrate; derived from dietary intake + remethylation,Possible MAT defect (rare) or supplementation,Methionine cycle compromise; consider methyl-B12 + betaine,commercial,,,,,,,,MEC-0003,,INT-0001,HYP-0001,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0005,Homocysteine,methylation_cycle,,,plasma,μmol/L,3.5,10,,7,,Methionine-cycle intermediate; remethylation + transsulfuration capacity,B12/folate/B6 insufficiency; CBS pathway slowdown; cardiovascular + neurodegenerative risk,Normal or slight CBS upregulation,standard_clinical,40,100,,CLIA,"Quest, LabCorp","MTHFR, CBS, MTRR genotype changes interpretation",,MEC-0003,,"INT-0001,INT-0008","HYP-0001,HYP-0003",15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0006,Cysteine,methylation_cycle,transsulfuration,,plasma,μmol/L,200,350,,,,Transsulfuration product; substrate for glutathione synthesis,,Glutathione synthesis precursor depletion,commercial,,,,,,,,,,INT-0001,HYP-0063,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0007,Taurine,methylation_cycle,transsulfuration,,plasma,μmol/L,50,180,,,,Transsulfuration end-product; bile acid conjugation; GABA-like inhibitory,,Transsulfuration insufficiency,commercial,,,,,,,,"MEC-0003,MEC-0007",,,,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0008,Methylmalonic acid (MMA),methylation_cycle,b12_functional,,serum_or_urine,nmol/L,0,270,,,,Functional B12 status — elevated when B12 cofactor activity is insufficient regardless of plasma B12 level,Functional B12 deficiency even if plasma B12 normal,,standard_clinical,,,,CLIA,"Quest, LabCorp",,More sensitive than plasma B12 alone for cellular B12 status,,,INT-0001,HYP-0001,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0009,Plasma B12 (cobalamin),methylation_cycle,,,serum,pg/mL,200,900,500,,,Total cobalamin; gross B12 sufficiency,,Functional B12 deficiency likely (confirm with MMA + holotranscobalamin),commercial,,,,CLIA,,,Should be >500 pg/mL in autistic kids; mainstream 'normal' often inadequate,,,INT-0001,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0010,Holotranscobalamin (active B12),methylation_cycle,,,plasma,pmol/L,35,170,,,,Biologically-active B12 fraction (transcobalamin-bound),,,specialty_clinical,,,,CLIA,,,More specific than total B12 for cellular delivery,,,INT-0001,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0011,Plasma folate,methylation_cycle,,,serum,ng/mL,3,20,,,,,,,standard_clinical,,,,CLIA,,,Acute folate status; reflects recent intake,,,"INT-0001,INT-0008",HYP-0003,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0012,RBC folate,methylation_cycle,,,whole_blood_rbc,ng/mL,280,800,,,,,,,commercial,,,,CLIA,,MTHFR C677T affects 5-MTHF activation efficiency,Long-term folate status (4+ months); preferred over plasma,,,"INT-0001,INT-0008",HYP-0003,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
